,class_name
0,001.ak47
1,002.american-flag
2,003.backpack
3,004.baseball-bat
4,006.basketball-hoop
5,007.bat
6,009.bear
7,010.beer-mug
8,011.billiards
9,013.birdbath
10,016.boom-box
11,017.bowling-ball
12,018.bowling-pin
13,019.boxing-glove
14,020.brain-101
15,022.buddha-101
16,023.bulldozer
17,024.butterfly
18,025.cactus
19,026.cake
20,027.calculator
21,028.camel
22,029.cannon
23,030.canoe
24,031.car-tire
25,032.cartman
26,033.cd
27,034.centipede
28,035.cereal-box
29,036.chandelier-101
30,037.chess-board
31,038.chimp
32,040.cockroach
33,041.coffee-mug
34,042.coffin
35,043.coin
36,044.comet
37,045.computer-keyboard
38,046.computer-monitor
39,047.computer-mouse
40,055.dice
41,056.dog
42,057.dolphin-101
43,058.doorknob
44,059.drinking-straw
45,060.duck
46,061.dumb-bell
47,062.eiffel-tower
48,063.electric-guitar-101
49,064.elephant-101
50,071.fire-hydrant
51,072.fire-truck
52,073.fireworks
53,074.flashlight
54,075.floppy-disk
55,076.football-helmet
56,077.french-horn
57,078.fried-egg
58,079.frisbee
59,080.frog
60,081.frying-pan
61,082.galaxy
62,083.gas-pump
63,084.giraffe
64,085.goat
65,124.killer-whale
66,125.knife
67,126.ladder
68,127.laptop-101
69,128.lathe
70,129.leopards-101
71,130.license-plate
72,131.lightbulb
73,132.light-house
74,133.lightning
75,152.owl
76,153.palm-pilot
77,154.palm-tree
78,155.paperclip
79,163.playing-card
80,231.tripod
81,232.t-shirt
82,233.tuning-fork
83,234.tweezer
84,235.umbrella-101
85,236.unicorn
86,250.zebra
87,251.airplanes-101
88,252.car-side-101
89,253.faces-easy-101
